Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,NIFVIX,IN003M,Daily_STIR,Theoretical_Spread
2022-01-05,15396.4,0.009836110524154132,0.1561434138903421,0.172275,0.0409,0.0001623015873015873,3.805857023464341
2022-01-06,15290.1,0.009425505908638117,0.14962526769135806,0.179775,0.041,0.0001626984126984127,3.6218036444192876
2022-01-07,15348.55,0.009303476553201134,0.1476881117285435,0.176025,0.0411,0.0001630952380952381,3.5885791892442285
2022-01-10,15495.55,0.008889322858005476,0.14111362563626653,0.176775,0.0411,0.0001630952380952381,3.4616696063831114
2022-01-11,15530.55,0.00888031489072683,0.1409706285888415,0.177575,0.0411,0.0001630952380952381,3.465972734011757
2022-01-12,15667.9,0.008462758984092399,0.13434213406431664,0.171825,0.041,0.0001626984126984127,3.3322128292375055
2022-01-13,15721.05,0.008435696641800014,0.1339125326987133,0.16705,0.0409,0.0001623015873015873,3.3328247056933833
2022-01-14,15730.4,0.008077853319579017,0.12823194606518185,0.16555,0.041,0.0001626984126984127,3.1933441774422135
2022-01-17,15781.25,0.007714037070100618,0.12245654215091739,0.16765,0.041,0.0001626984126984127,3.059378114685387
2022-01-18,15573.1,0.007410983420997499,0.11764571461429248,0.1778,0.0412,0.0001634920634920635,2.900420620274417
2022-01-19,15472.5,0.008415719598162459,0.1335954069623418,0.178175,0.0415,0.00016468253968253969,3.2723649071444925
2022-01-20,15361.1,0.008367208315905504,0.1328253142305452,0.1779,0.0419,0.00016626984126984128,3.2300770748156538
2022-01-21,15180.8,0.008394411260173129,0.1332571475833105,0.188875,0.0419,0.00016626984126984128,3.202542384968183
2022-01-24,14712.05,0.008973037962773614,0.1424425617254438,0.22825,0.042,0.0001666666666666667,3.317589445336125
2022-01-25,14832.2,0.013332640489789506,0.2116491063348806,0.213575,0.0421,0.00016706349206349207,4.969715363902651
2022-01-27,14679.7,0.012789214486202637,0.2030224859661413,0.21065,0.042,0.0001666666666666667,4.7181401538136925
2022-01-28,14723.25,0.01260490983049073,0.20009674025923077,0.20695,0.0419,0.00016626984126984128,4.663942853170283
2022-01-31,14921.45,0.011927465510843099,0.1893426450779449,0.219525,0.0419,0.00016626984126984128,4.472692145681776
2022-02-01,15116.2,0.011938643496656789,0.1895200901016747,0.199775,0.0421,0.00016706349206349207,4.535314653237947
2022-02-02,15293.35,0.011907233939561116,0.18902147884047968,0.1865,0.0422,0.00016746031746031747,4.576393134605951
